Symbol;Company Name
AMD;Advanced Micro Devices
AHGP;Alliance Holdings GP, L.P.
AMZN;Amazon.com, Inc.
AXP;American Express Company
AAPL;Apple Inc.
CAT;Caterpillar Inc.
EBAY;eBay Inc.
EA;Electronic Arts Inc.
FB;Facebook, Inc.
GME;GameStop Corp.
GM;General Motors Company
GOOG;Google Inc.
INTC;Intel Corporation
IBM;International Business Machines Corporation
JNJ;Johnson & Johnson
MA;Mastercard Incorporated
MSFT;Microsoft Corporation
NFLX;Netflix, Inc.
NVS;Novartis AG
NVDA;NVIDIA Corporation
PYPL;PayPal Holdings, Inc.
PEP;PepsiCo, Inc.
PFE;Pfizer Inc.
SONY;Sony Group Corporation
SBUX;Starbucks Corporation
TSLA;Tesla Motors, Inc.
KO;The Coca-Cola Company
GS;The Goldman Sachs Group, Inc.
DIS;The Walt Disney Company
VSCO;Victoria's Secret & Co.
WHR;Whirlpool Corporation
YHOO;Yahoo! Inc.
